# rho, Re(G), Im(G)
  3.074148296593E-01 -5.914853799123E-01  4.808394301591E+00
  3.100200400802E-01 -5.850369711240E-01  4.736556774564E+00
  3.126252505010E-01 -5.792612996712E-01  4.666584298214E+00
  3.152304609218E-01 -5.742401164257E-01  4.598597159554E+00
  3.178356713427E-01 -5.700359827731E-01  4.532713578795E+00
  3.204408817635E-01 -5.666925654280E-01  4.469047395573E+00
  3.230460921844E-01 -5.642351734131E-01  4.407705892886E+00
  3.256513026052E-01 -5.626715119820E-01  4.348787777556E+00
  3.282565130261E-01 -5.619926268644E-01  4.292381333987E+00
  3.308617234469E-01 -5.621740114511E-01  4.238562765798E+00
  3.334669338677E-01 -5.631768493645E-01  4.187394737630E+00
  3.360721442886E-01 -5.649493652270E-01  4.138925127056E+00
  3.386773547094E-01 -5.674282572773E-01  4.093185994144E+00
  3.412825651303E-01 -5.705401867277E-01  4.050192773739E+00
  3.438877755511E-01 -5.742033003244E-01  4.009943693161E+00
  3.464929859719E-01 -5.783287644037E-01  3.972419415542E+00
  3.490981963928E-01 -5.828222907441E-01  3.937582906729E+00
  3.517034068136E-01 -5.875856366357E-01  3.905379521341E+00
  3.543086172345E-01 -5.925180637547E-01  3.875737301422E+00
  3.569138276553E-01 -5.975177425783E-01  3.848567479020E+00
  3.595190380762E-01 -6.024830911604E-01  3.823765172118E+00
  3.621242484970E-01 -6.073140390511E-01  3.801210261517E+00
  3.647294589178E-01 -6.119132089667E-01  3.780768434685E+00
  3.673346693387E-01 -6.161870104563E-01  3.762292381116E+00
  3.699398797595E-01 -6.200466412587E-01  3.745623122518E+00
  3.725450901804E-01 -6.234089932939E-01  3.730591460096E+00
  3.751503006012E-01 -6.261974612762E-01  3.717019520345E+00
  3.777555110220E-01 -6.283426527859E-01  3.704722380166E+00
  3.803607214429E-01 -6.297829993130E-01  3.693509751695E+00
  3.829659318637E-01 -6.304652682952E-01  3.683187707039E+00
  3.855711422846E-01 -6.303449765576E-01  3.673560423149E+00
  3.881763527054E-01 -6.293867058324E-01  3.664431927266E+00
  3.907815631263E-01 -6.275643212415E-01  3.655607823815E+00
  3.933867735471E-01 -6.248610937786E-01  3.646896984270E+00
  3.959919839679E-01 -6.212697279712E-01  3.638113182269E+00
  3.985971943888E-01 -6.167922960613E-01  3.629076657291E+00
  4.012024048096E-01 -6.114400802365E-01  3.619615591299E+00
  4.038076152305E-01 -6.052333247063E-01  3.609567484071E+00
  4.064128256513E-01 -5.982008997496E-01  3.598780414294E+00
  4.090180360721E-01 -5.903798802864E-01  3.587114175067E+00
  4.116232464930E-01 -5.818150420469E-01  3.574441274000E+00
  4.142284569138E-01 -5.725582790273E-01  3.560647789827E+00
  4.168336673347E-01 -5.626679466269E-01  3.545634079123E+00
  4.194388777555E-01 -5.522081356495E-01  3.529315328501E+00
  4.220440881764E-01 -5.412478831989E-01  3.511621949440E+00
  4.246492985972E-01 -5.298603273928E-01  3.492499814627E+00
  4.272545090180E-01 -5.181218137334E-01  3.471910336461E+00
  4.298597194389E-01 -5.061109618760E-01  3.449830390058E+00
  4.324649298597E-01 -4.939077024098E-01  3.426252084706E+00
  4.350701402806E-01 -4.815922940663E-01  3.401182389309E+00
  4.376753507014E-01 -4.692443324861E-01  3.374642618792E+00
  4.402805611222E-01 -4.569417622553E-01  3.346667789811E+00
  4.428857715431E-01 -4.447599043643E-01  3.317305855359E+00
  4.454909819639E-01 -4.327705115073E-01  3.286616828924E+00
  4.480961923848E-01 -4.210408637105E-01  3.254671809880E+00
  4.507014028056E-01 -4.096329166416E-01  3.221551922584E+00
  4.533066132265E-01 -3.986025146073E-01  3.187347182289E+00
  4.559118236473E-01 -3.879986796603E-01  3.152155301562E+00
  4.585170340681E-01 -3.778629874532E-01  3.116080451177E+00
  4.611222444890E-01 -3.682290394544E-01  3.079231989694E+00
  4.637274549098E-01 -3.591220399395E-01  3.041723175916E+00
  4.663326653307E-01 -3.505584847634E-01  3.003669878346E+00
  4.689378757515E-01 -3.425459673716E-01  2.965189295424E+00
  4.715430861723E-01 -3.350831057946E-01  2.926398699973E+00
  4.741482965932E-01 -3.281595926003E-01  2.887414220627E+00
  4.767535070140E-01 -3.217563678829E-01  2.848349672421E+00
  4.793587174349E-01 -3.158459134799E-01  2.809315447838E+00
  4.819639278557E-01 -3.103926647043E-01  2.770417478730E+00
  4.845691382766E-01 -3.053535340303E-01  2.731756278488E+00
  4.871743486974E-01 -3.006785393834E-01  2.693426072762E+00
  4.897795591182E-01 -2.963115280129E-01  2.655514025860E+00
  4.923847695391E-01 -2.921909854315E-01  2.618099568739E+00
  4.949899799599E-01 -2.882509175546E-01  2.581253833206E+00
  4.975951903808E-01 -2.844217930083E-01  2.545039195754E+00
  5.002004008016E-01 -2.806315317249E-01  2.509508933052E+00
  5.028056112224E-01 -2.768065252275E-01  2.474706989890E+00
  5.054108216433E-01 -2.728726735854E-01  2.440667859139E+00
  5.080160320641E-01 -2.687564239563E-01  2.407416571909E+00
  5.106212424850E-01 -2.643857955764E-01  2.374968795118E+00
  5.132264529058E-01 -2.596913766257E-01  2.343331032314E+00
  5.158316633267E-01 -2.546072788193E-01  2.312500922730E+00
  5.184368737475E-01 -2.490720365630E-01  2.282467632421E+00
  5.210420841683E-01 -2.430294384599E-01  2.253212330544E+00
  5.236472945892E-01 -2.364292802076E-01  2.224708743033E+00
  5.262525050100E-01 -2.292280294575E-01  2.196923775099E+00
  5.288577154309E-01 -2.213893944902E-01  2.169818193651E+00
  5.314629258517E-01 -2.128847904307E-01  2.143347360036E+00
  5.340681362725E-01 -2.036936982288E-01  2.117462003323E+00
  5.366733466934E-01 -1.938039135757E-01  2.092109023955E+00
  5.392785571142E-01 -1.832116843453E-01  2.067232317715E+00
  5.418837675351E-01 -1.719217371308E-01  2.042773609761E+00
  5.444889779559E-01 -1.599471949600E-01  2.018673288688E+00
  5.470941883768E-01 -1.473093897552E-01  1.994871230859E+00
  5.496993987976E-01 -1.340375746583E-01  1.971307605521E+00
  5.523046092184E-01 -1.201685425517E-01  1.947923651702E+00
  5.549098196393E-01 -1.057461581599E-01  1.924662418497E+00
  5.575150300601E-01 -9.082081237708E-02  1.901469460799E+00
  5.601202404810E-01 -7.544880798027E-02  1.878293483413E+00
  5.627254509018E-01 -5.969168653821E-02  1.855086927220E+00
  5.653306613226E-01 -4.361550686800E-02  1.831806491851E+00
  5.679358717435E-01 -2.729008572046E-02  1.808413590155E+00
  5.705410821643E-01 -1.078821115039E-02  1.784874730815E+00
  5.731462925852E-01  5.815160855505E-03  1.761161826294E+00
  5.757515030060E-01  2.244371600807E-02  1.737252424187E+00
  5.783567134269E-01  3.902058802979E-02  1.713129861207E+00
  5.809619238477E-01  5.546915171966E-02  1.688783339643E+00
  5.835671342685E-01  7.171379437961E-02  1.664207927451E+00
  5.861723446894E-01  8.768065759594E-02  1.639404483761E+00
  5.887775551102E-01  1.032983411057E-01  1.614379512316E+00
  5.913827655311E-01  1.184985636985E-01  1.589144946704E+00
  5.939879759519E-01  1.332167740374E-01  1.563717871267E+00
  5.965931863727E-01  1.473927072471E-01  1.538120182742E+00
  5.991983967936E-01  1.609708835121E-01  1.512378198280E+00
  6.018036072144E-01  1.739010446811E-01  1.486522215615E+00
  6.044088176353E-01  1.861385279870E-01  1.460586032180E+00
  6.070140280561E-01  1.976445733873E-01  1.434606429756E+00
  6.096192384770E-01  2.083865660504E-01  1.408622632021E+00
  6.122244488978E-01  2.183382119401E-01  1.382675742103E+00
  6.148296593186E-01  2.274796477784E-01  1.356808167616E+00
